1,0.279,0.26,0.658,0.598,0.121,0.641,0.801,0.579,0.113,0.132,0.479,0.598
1,0.637,0.641,0.308,0.806,0.149,0.123,0.254,0.778,0.395,0.655,0.472,0.807
1,0.026,0.763,0.785,0.472,0.241,0.11,0.598,0.184,0.232,0.727,0.75,0.478
1,0.719,0.645,0.494,0.787,0.227,0.461,0.006,0.445,0.785,0.798,0.658,0.745
1,0.53,0.658,0.13,0.786,0.701,0.494,0.428,0.472,0.113,0.465,0.242,0.494
1,0.428,0.35,0.598,0.472,0.233,0.641,0.787,0.798,0.428,0.485,0.145,0.658
1,0.006,0.254,0.248,0.448,0.026,0.658,0.009,0.637,0.706,0.635,0.454,0.045
1,0.641,0.786,0.113,0.308,0.145,0.801,0.784,0.707,0.797,0.186,0.26,0.786
1,0.658,0.196,0.701,0.006,0.645,0.786,0.282,0.462,0.786,0.598,0.145,0.537
1,0.303,0.488,0.48,0.342,0.105,0.778,0.015,0.788,0.645,0.786,0.658,0.462
0,0.641,0.465,0.645,0.303,0.485,0.286,0.642,0.534,0.481,0.798,0.244,0.23
1,0.303,0.488,0.48,0.342,0.105,0.778,0.015,0.788,0.645,0.786,0.658,0.462
0,0.641,0.465,0.645,0.303,0.485,0.286,0.642,0.534,0.481,0.798,0.244,0.23
0,0.143,0.031,0.215,0.785,0.303,0.784,0.641,0.807,0.254,0.646,0.801,0.77
1,0.227,0.302,0.748,0.465,0.797,0.113,0.637,0.645,0.788,0.308,0.598,0.658
1,0.727,0.797,0.308,0.642,0.35,0.205,0.658,0.494,0.474,0.53,0.334,0.479
1,0.065,0.748,0.801,0.645,0.485,0.658,0.306,0.555,0.801,0.784,0.641,0.658
0,0.213,0.497,0.625,0.778,0.784,0.127,0.475,0.445,0.658,0.465,0.797,0.641
1,0.248,0.145,0.788,0.798,0.645,0.385,0.786,0.798,0.475,0.778,0.596,0.642
0,0.324,0.003,0.479,0.006,0.645,0.071,0.719,0.645,0.494,0.787,0.227,0.461
1,0.08,0.036,0.248,0.53,0.145,0.003,0.465,0.279,0.26,0.479,0.598,0.641
0,0.785,0.113,0.701,0.26,0.279,0.472,0.652,0.479,0.113,0.445,0.242,0.385
0,0.025,0.785,0.106,0.227,0.113,0.646,0.752,0.13,0.497,0.786,0.308,0.473
1,0.806,0.748,0.645,0.785,0.13,0.798,0.376,0.448,0.303,0.485,0.797,0.212
0,0.113,0.302,0.227,0.494,0.472,0.801,0.428,0.658,0.494,0.645,0.598,0.788
1,0.212,0.647,0.66,0.244,0.479,0.591,0.461,0.637,0.227,0.034,0.13,0.003
0,0.468,0.448,0.395,0.445,0.461,0.474,0.53,0.248,0.798,0.752,0.658,0.036
0,0.264,0.462,0.089,0.645,0.658,0.065,0.227,0.195,0.036,0.302,0.748,0.113
0,0.5,0.389,0.181,0.282,0.68,0.748,0.72,0.798,0.479,0.645,0.006,0.184
0,0.553,0.16,0.785,0.641,0.485,0.598,0.025,0.785,0.106,0.227,0.113,0.646
0,0.127,0.53,0.642,0.752,0.784,0.801,0.461,0.598,0.788,0.445,0.254,0.785
0,0.721,0.658,0.479,0.49,0.26,0.419,0.53,0.658,0.13,0.786,0.701,0.494
0,0.018,0.784,0.645,0.785,0.748,0.497,0.213,0.497,0.625,0.778,0.784,0.127
1,0.641,0.465,0.485,0.658,0.342,0.036,0.448,0.445,0.003,0.658,0.248,0.392
0,0.184,0.212,0.49,0.381,0.145,0.461,0.645,0.465,0.658,0.485,0.786,0.801
1,0.169,0.144,0.195,0.068,0.445,0.025,0.785,0.026,0.609,0.113,0.658,0.678
0,0.53,0.787,0.641,0.462,0.658,0.248,0.645,0.485,0.801,0.149,0.787,0.31
1,0.658,0.485,0.645,0.787,0.303,0.145,0.645,0.479,0.212,0.485,0.658,0.465
0,0.13,0.645,0.658,0.784,0.786,0.801,0.38,0.797,0.646,0.248,0.748,0.53
0,0.553,0.16,0.785,0.641,0.485,0.598,0.445,0.637,0.785,0.212,0.49,0.359
1,0.025,0.785,0.106,0.227,0.113,0.646,0.227,0.195,0.036,0.302,0.748,0.113
